time,BTC,ETC,LTC
2016-08-17,574.45,10.82,3.62
2016-08-18,574.09,10.77,3.7
2016-08-19,573.67,10.77,4.0
2016-08-21,581.29,11.21,4.0
2016-08-22,585.2,11.1,3.99
2016-08-23,582.39,11.0,3.95
2016-08-24,578.47,11.01,3.79
2016-08-25,575.58,11.34,3.81
2016-08-26,579.29,11.28,3.81
2016-08-27,570.84,11.18,3.78
2016-08-28,575.41,11.01,3.78
2016-08-29,573.21,10.95,3.74
2016-08-30,574.95,11.21,3.81
2016-08-31,572.89,11.7,3.74
2016-09-01,573.02,12.05,3.66
2016-09-02,576.21,12.15,3.84
2016-09-03,600.91,11.88,3.88
2016-09-04,611.92,11.77,4.02
2016-09-05,605.69,11.76,3.96
2016-09-06,612.99,11.71,3.95
2016-09-07,615.21,11.58,3.97
2016-09-08,627.97,11.39,4.01
2016-09-09,622.07,11.64,3.96
2016-09-10,623.74,12.21,3.97
2016-09-11,607.94,11.65,3.93
2016-09-12,606.74,11.86,3.88
2016-09-13,608.63,11.92,3.81
2016-09-14,608.43,11.91,3.83
2016-09-15,605.44,11.96,3.85
2016-09-16,607.93,12.58,3.81
2016-09-17,607.92,12.79,3.82
2016-09-18,611.4,12.64,3.87
2016-09-19,608.6,13.17,3.8
2016-09-20,605.6,14.56,3.86
2016-09-21,597.0,13.76,3.82
2016-09-22,596.21,13.2,3.79
2016-09-23,602.96,13.37,3.83
2016-09-24,603.68,12.97,3.87
2016-09-25,601.67,13.12,3.8
2016-09-26,607.08,12.84,3.89
2016-09-27,605.71,13.09,3.85
2016-09-28,605.04,13.32,3.83
2016-09-29,605.99,13.11,3.86
2016-09-30,608.99,13.23,3.81
2016-10-01,615.65,13.22,3.85
2016-10-02,612.4,13.28,3.83
2016-10-03,612.99,13.51,3.83
2016-10-04,610.34,13.32,3.85
2016-10-05,613.16,13.09,3.88
2016-10-06,611.88,12.86,3.82
2016-10-07,617.98,12.7,3.86
2016-10-08,619.5,12.26,3.86
2016-10-09,617.42,12.1,3.8
2016-10-10,618.72,11.78,3.79
2016-10-11,642.12,11.77,3.83
2016-10-12,635.79,11.92,3.8
2016-10-13,635.66,11.87,3.83
2016-10-14,638.03,11.92,3.82
2016-10-15,638.16,11.95,3.93
2016-10-16,641.92,11.95,3.88
2016-10-17,639.56,11.96,3.9
2016-10-18,635.11,12.54,3.9
2016-10-19,629.79,12.01,3.79
2016-10-20,628.05,12.06,3.8
2016-10-21,630.83,12.05,3.8
2016-10-22,652.75,12.03,3.84
2016-10-23,651.04,11.94,3.88
2016-10-24,649.98,11.92,3.88
2016-10-25,654.3,11.33,3.85
2016-10-26,674.0,11.49,3.96
2016-10-27,691.21,11.48,4.02
2016-10-28,689.95,11.13,4.01
2016-10-29,714.28,10.47,4.06
2016-10-30,697.41,11.19,3.95
2016-10-31,696.9,10.97,3.98
2016-11-01,730.7,10.84,4.12
2016-11-02,744.6,10.83,4.19
2016-11-03,690.0,10.87,3.82
2016-11-04,706.32,11.15,3.89
2016-11-05,706.99,11.16,3.87
2016-11-06,717.02,11.01,3.91
2016-11-07,706.42,10.93,3.88
2016-11-08,711.15,10.84,3.84
2016-11-09,720.97,10.62,3.98
2016-11-10,712.91,10.51,3.8
2016-11-11,716.9,10.29,3.85
2016-11-12,704.53,9.95,3.76
2016-11-13,704.01,10.14,3.9
2016-11-14,708.32,10.02,3.86
2016-11-15,712.29,10.27,3.92
2016-11-16,739.85,10.0,3.94
2016-11-17,730.71,9.91,3.86
2016-11-18,748.54,9.51,3.87
2016-11-19,750.77,9.68,3.92
2016-11-20,731.99,9.6,3.89
2016-11-21,736.4,9.54,3.93
2016-11-22,746.66,9.87,3.9
2016-11-23,741.52,9.8,3.9
2016-11-24,737.99,9.18,3.9
2016-11-25,739.74,9.4,3.9
2016-11-26,735.7,9.33,3.86
2016-11-27,729.24,8.98,3.88
2016-11-28,729.77,8.67,3.84
2016-11-29,732.37,8.14,3.82
2016-11-30,742.69,8.61,3.85
2016-12-01,754.0,8.45,3.88
2016-12-02,769.25,7.73,3.91
2016-12-03,766.98,7.86,3.9
2016-12-04,767.99,7.37,3.87
2016-12-05,752.0,6.75,3.5
2016-12-06,759.8,7.83,3.52
2016-12-07,764.34,8.35,3.65
2016-12-08,767.89,8.2,3.65
2016-12-09,773.22,8.47,3.74
2016-12-10,775.87,8.14,3.7
2016-12-11,771.05,8.23,3.67
2016-12-12,778.94,8.5,3.64
2016-12-13,776.18,8.41,3.62
2016-12-14,777.66,8.24,3.6
2016-12-15,776.16,7.83,3.5
2016-12-16,780.98,7.84,3.64
2016-12-17,788.57,7.85,3.71
2016-12-18,790.72,7.92,3.62
2016-12-19,790.81,7.64,3.66
2016-12-20,798.99,7.64,3.64
2016-12-21,834.5,7.91,3.64
2016-12-22,856.02,7.55,3.69
2016-12-23,917.26,7.13,4.61
2016-12-24,891.5,7.22,4.47
2016-12-25,896.12,7.19,4.3
2016-12-26,902.09,7.26,4.27
2016-12-27,925.2,7.16,4.34
2016-12-28,982.17,7.62,4.53
2016-12-29,970.72,8.29,4.68
2016-12-30,960.81,8.21,4.35
2016-12-31,973.37,8.16,4.36
2017-01-01,992.95,8.18,4.43
2017-01-02,1011.45,8.38,4.62
2017-01-03,1020.67,9.59,4.54
2017-01-04,1130.3,11.17,4.62
2017-01-05,1007.0,10.23,4.24
2017-01-06,895.71,10.14,3.88
2017-01-07,909.0,9.92,3.99
2017-01-08,923.33,10.5,4.03
2017-01-09,902.66,10.39,4.39
2017-01-10,907.0,10.63,4.67
2017-01-11,795.77,9.95,3.99
2017-01-12,812.25,9.8,4.06
2017-01-13,831.42,9.84,3.96
2017-01-14,828.0,9.86,4.01
2017-01-15,833.31,9.9,3.97
2017-01-16,834.41,9.66,3.88
2017-01-17,906.0,10.34,3.95
2017-01-18,887.99,10.23,3.88
2017-01-19,902.92,10.42,3.89
2017-01-20,894.31,10.62,3.88
2017-01-21,925.06,10.93,3.92
2017-01-22,931.22,10.77,3.87
2017-01-23,910.7,10.8,3.83
2017-01-24,887.0,10.57,3.73
2017-01-25,896.0,10.55,3.69
2017-01-26,917.02,10.6,3.85
2017-01-27,922.63,10.55,3.9
2017-01-28,924.98,10.58,3.88
2017-01-29,916.54,10.49,3.88
2017-01-30,923.23,10.6,4.08
2017-01-31,970.01,10.7,4.09
2017-02-01,992.75,10.72,4.08
2017-02-02,1008.38,10.82,4.1
2017-02-03,1018.0,10.99,4.03
2017-02-04,1035.54,11.41,4.03
2017-02-05,1016.32,11.26,3.99
2017-02-06,1022.58,11.34,3.96
2017-02-07,1053.96,11.51,3.98
2017-02-08,1056.7,11.41,3.97
2017-02-09,994.24,11.02,3.78
2017-02-10,1001.99,11.43,3.83
2017-02-11,1018.65,11.52,3.84
2017-02-12,1010.0,11.5,3.8
2017-02-13,1002.82,11.43,3.79
2017-02-14,1013.92,13.14,3.83
2017-02-15,1014.53,12.98,3.89
2017-02-16,1038.94,12.89,3.86
2017-02-17,1057.3,12.75,3.91
2017-02-18,1062.15,12.89,3.84
2017-02-19,1059.88,12.9,3.81
2017-02-20,1089.82,12.61,3.81
2017-02-21,1128.29,12.83,3.85
2017-02-22,1128.71,12.75,3.89
2017-02-23,1186.9,13.21,3.9
2017-02-24,1186.91,13.2,3.95
2017-02-25,1158.0,13.65,3.9
2017-02-26,1184.91,14.74,3.89
2017-02-27,1195.81,15.66,3.87
2017-02-28,1195.08,16.4,3.85
2017-03-01,1230.0,17.37,3.86
2017-03-02,1269.17,19.27,4.04
2017-03-03,1292.86,19.68,4.07
2017-03-04,1273.97,18.65,4.04
2017-03-05,1278.98,19.4,4.02
2017-03-06,1284.99,19.68,4.1
2017-03-07,1237.36,18.96,3.99
2017-03-08,1150.22,16.68,3.86
2017-03-09,1197.3,17.82,3.92
2017-03-10,1109.01,19.2,3.8
2017-03-11,1188.11,21.64,3.82
2017-03-12,1235.58,23.39,3.94
2017-03-13,1245.49,28.64,4.4
2017-03-14,1247.42,28.69,4.19
2017-03-15,1263.0,35.65,4.33
2017-03-16,1175.11,45.96,4.31
2017-03-17,1069.57,44.62,4.12
2017-03-18,970.0,33.64,4.02
2017-03-19,1019.49,43.21,3.93
2017-03-20,1044.96,42.31,4.18
2017-03-21,1114.42,42.36,4.04
2017-03-22,1034.57,41.37,3.94
2017-03-23,1025.14,42.99,3.96
2017-03-24,934.87,52.93,4.11
2017-03-25,963.72,50.5,4.1
2017-03-26,973.08,50.73,4.1
2017-03-27,1042.08,48.97,4.08
2017-03-28,1045.4,50.3,4.2
2017-03-29,1043.27,53.1,4.3
2017-03-30,1042.34,51.88,7.89
2017-03-31,1088.99,50.18,7.25
2017-04-01,1092.0,50.71,7.61
2017-04-02,1113.99,48.74,8.34
2017-04-03,1152.6,44.25,8.61
2017-04-04,1143.99,44.47,9.15
2017-04-05,1132.99,44.78,13.0
2017-04-06,1192.3,43.3,10.87
2017-04-07,1194.0,42.32,9.89
2017-04-08,1184.5,44.45,10.79
2017-04-09,1210.97,43.92,9.26
2017-04-10,1210.0,43.92,9.87
2017-04-11,1223.99,43.83,9.71
2017-04-12,1214.17,46.48,11.69
2017-04-13,1177.05,49.77,11.05
2017-04-14,1173.74,47.2,11.61
2017-04-15,1178.85,48.94,11.69
2017-04-16,1177.99,48.13,11.7
2017-04-17,1189.91,47.94,11.15
2017-04-18,1201.94,49.79,10.95
2017-04-19,1214.21,47.78,10.21
2017-04-20,1236.15,49.38,10.99
2017-04-21,1249.99,48.37,12.12
2017-04-22,1247.0,48.61,14.35
2017-04-23,1251.98,48.96,15.38
2017-04-24,1257.29,50.12,15.07
2017-04-25,1281.16,50.31,15.53
2017-04-26,1298.44,53.42,15.09
2017-04-27,1349.26,63.67,14.98
2017-04-28,1353.34,73.14,14.75
2017-04-29,1365.43,70.4,16.34
2017-04-30,1384.55,80.87,16.2
2017-05-01,1436.5,79.35,16.47
2017-05-02,1471.99,77.55,16.24
2017-05-03,1533.0,81.29,22.01
2017-05-04,1563.39,95.97,24.16
2017-05-05,1551.3,91.93,26.33
2017-05-06,1585.39,95.84,28.43
2017-05-07,1609.57,93.82,30.62
2017-05-08,1713.0,89.25,28.86
2017-05-09,1720.43,86.58,33.2
2017-05-10,1794.99,88.36,32.82
2017-05-11,1837.93,88.3,30.69
2017-05-12,1695.61,85.17,27.21
2017-05-13,1792.73,88.42,29.09
2017-05-14,1799.99,89.39,28.9
2017-05-15,1747.81,91.0,25.61
2017-05-16,1777.48,87.98,23.6
2017-05-17,1813.23,86.88,25.3
2017-05-18,1899.16,96.2,28.58
2017-05-19,1976.23,125.14,27.55
2017-05-20,2058.91,123.63,27.34
2017-05-21,2057.0,148.78,25.92
2017-05-22,2123.29,160.1,24.71
2017-05-23,2272.75,169.95,31.06
2017-05-24,2432.97,196.06,34.31
2017-05-25,2355.0,181.51,29.64
2017-05-26,2272.7,163.8,25.93
2017-05-27,2099.99,159.91,23.5
2017-05-28,2232.78,175.48,24.73
2017-05-29,2279.48,194.82,25.77
2017-05-30,2191.58,228.69,24.19
2017-05-31,2303.29,229.14,25.88
2017-06-01,2419.99,221.91,27.74
2017-06-02,2478.99,222.04,27.9
2017-06-03,2548.05,224.95,27.4
2017-06-04,2521.36,245.5,27.79
2017-06-05,2698.0,248.0,30.7
2017-06-06,2871.29,264.22,30.1
2017-06-07,2685.64,255.68,28.6
2017-06-08,2799.73,258.64,30.08
2017-06-09,2811.39,279.38,29.56
2017-06-10,2931.15,340.2,30.13
2017-06-11,2998.98,343.01,34.04
2017-06-12,2655.71,397.37,29.06
2017-06-13,2709.01,388.0,30.32
2017-06-14,2432.21,341.7,28.81
2017-06-15,2409.98,343.71,28.97
2017-06-16,2480.43,354.26,33.89
2017-06-17,2634.94,368.98,46.01
2017-06-18,2515.25,351.85,43.66
2017-06-19,2596.98,358.71,47.63
